Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3
3,20,Female,Undergraduate,USA,6,TikTok,Yes,5,5,Complicated,4,9
4,18,Male,High School,UK,3,YouTube,No,7,7,Single,1,4
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6,6,In Relationship,2,7
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8,9,Single,0,2
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6,6,In Relationship,2,8
9,18,Male,High School,Japan,4,TikTok,No,6.5,7,Single,1,5
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7,7,In Relationship,1,4
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6,6,Complicated,3,7
17,24,Male,Graduate,Sweden,2,LinkedIn,No,7.8,8,Single,0,3
18,19,Female,High School,Norway,5,Instagram,Yes,5.7,5,In Relationship,3,8
Student_ID,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5
19,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7
20,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8
21,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
22,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7
23,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8
24,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5
25,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9
26,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5
27,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7
28,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3
29,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8
30,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5
